subnum,group,session,tod,block,trial,targ,foil,studytime,rt,order,resp,corr
222,A,5,1,4,23,0101111001101101010001000,0101111001101101000101000,1006,1484,1,<lshift>,1
222,A,5,1,4,24,0011001011000111101100100,0011001010000111101110100,1006,1500,1,<lshift>,1
222,A,5,1,4,25,0001001000111110100010011,0001001000101110100011011,1006,822,0,<rshift>,1
222,A,5,1,4,26,0001111000100111100011001,0001011000110111100011001,1006,1308,1,<lshift>,1
222,A,5,1,4,27,0111101001001010001001100,0111100101001010001001100,1006,774,1,<lshift>,1
222,A,5,1,4,28,1010100110010111000110101,0010100110010111001110101,1005,1180,1,<lshift>,1
222,A,5,1,4,29,1110010111100001101000101,1110010011100011101000101,1005,836,0,<lshift>,0
222,A,5,1,4,30,0101010000010111000111111,0101010000110111000011111,1005,821,0,<rshift>,1
222,A,5,1,4,31,0101011001100100101010011,0100111001100100101010011,1006,1365,1,<lshift>,1
222,A,5,1,4,32,1000000110110110010011101,1000000110110101010011101,1006,1195,1,<lshift>,1
222,A,5,1,4,33,0001111011101001000110011,0000111011101001001110011,1005,1156,0,<rshift>,1
222,A,5,1,4,34,0011100000011110111101100,0011000000011111111101100,1005,1011,1,<lshift>,1
222,A,5,1,4,35,0011010111010011101100010,0010110111010011101100010,1005,973,0,<rshift>,1
222,A,6,2,1,1,0000101101110100101100100,0000101111110100101100000,1005,639,0,<rshift>,1
222,A,6,2,1,2,0010010110100010111011011,0010010110100011111011001,1005,811,0,<rshift>,1
222,A,6,2,1,3,1111101110011000000101000,1111101110011001000100000,1006,1772,1,<rshift>,0
222,A,6,2,1,4,1001101000100001001111010,1001110000100001001111010,1005,1830,1,<lshift>,1
222,A,6,2,1,5,0100100110010101100010101,0100100110011101100000101,1006,949,0,<rshift>,1
222,A,6,2,1,6,0010000110101100011110001,0010000110101110011100001,1006,748,0,<rshift>,1
222,A,6,2,1,7,0101101100111010010000010,0101101100101010110000010,1006,765,0,<rshift>,1
222,A,6,2,1,8,1111111000101010010100001,1110111100101010010100001,1004,820,1,<lshift>,1
222,A,6,2,1,9,0001010111011001011011100,0001010011011001011111100,1006,779,1,<lshift>,1
222,A,6,2,1,10,1110101011100001000010101,1111101011100000000010101,1006,692,0,<rshift>,1
222,A,6,2,1,11,1010001010110000101101001,1010001010110000101101100,1006,918,1,<lshift>,1
222,A,6,2,1,12,0111011100001101001010110,0111011100101100001010110,1005,1012,0,<rshift>,1
222,A,6,2,1,13,1001110100001000101111110,1001110100011000101110110,1005,764,1,<rshift>,0
222,A,6,2,1,14,1011001100100101111101000,1011001100110101110101000,1004,1644,0,<rshift>,1
222,A,6,2,1,15,0101001110001001100000111,0101000110001001100010111,1006,821,0,<rshift>,1
222,A,6,2,1,16,1110110010110100100001011,1110110010010100110001011,1006,1004,1,<rshift>,0
222,A,6,2,1,17,0010100101011101100100111,0011100001011101100100111,1004,1963,1,<lshift>,1
222,A,6,2,1,18,1110001100110011011000100,0110001100110011011010100,1005,982,0,<rshift>,1
222,A,6,2,1,19,0010001001111110001111001,0010001001111110011101001,1005,1260,0,<rshift>,1
222,A,6,2,1,20,1101100111001001000100110,1101100111001001000100101,1006,1278,0,<lshift>,0
222,A,6,2,1,21,0000110111110011100011001,0000110101110011100111001,1005,1291,1,<lshift>,1
222,A,6,2,1,22,0100001000101010101011101,0000001000111010101011101,1006,1477,0,<lshift>,0
222,A,6,2,1,23,0011011000100101101100111,0111011000100001101100111,1005,1044,0,<rshift>,1
222,A,6,2,1,24,1001101101100100101011100,1001101001100100101011110,1005,948,1,<lshift>,1
222,A,6,2,1,25,1000101101100011111000100,1000100101101011111000100,1006,991,0,<rshift>,1
222,A,6,2,1,26,1010101111100100001010110,1011101111100100001000110,1005,803,0,<rshift>,1
222,A,6,2,1,27,1100111000000111001110101,1101111000000011001110101,1005,1396,0,<rshift>,1
222,A,6,2,1,28,1010011111010011000010110,1011011111000011000010110,1005,1236,1,<lshift>,1
222,A,6,2,1,29,0110111001100001011010011,0110111001110001010010011,1005,836,1,<lshift>,1
222,A,6,2,1,30,1001001111000000101110011,1000011111000000101110011,1006,773,0,<rshift>,1
222,A,6,2,1,31,0101011000010111111010001,0001011000110111111010001,1005,971,1,<rshift>,0
222,A,6,2,1,32,0000011110001111101011100,0001011110001101101011100,1006,932,1,<lshift>,1
222,A,6,2,1,33,1001000110001011001110010,1001100110001001001110010,1006,1182,1,<lshift>,1
222,A,6,2,1,34,1010111100001010111001010,1010110100011010111001010,1006,836,1,<lshift>,1
222,A,6,2,1,35,1110111010010100010010000,1111111010010100010000000,1005,820,0,<lshift>,0
222,A,8,4,1,1,0111010010010101101010100,0111010110010101101010000,1005,792,0,<rshift>,1
222,A,8,4,1,2,0101000100011111110000010,0101001100011111110000000,1006,738,0,<rshift>,1
222,A,8,4,1,3,1011000101001011111010100,1011001101001011111010000,1005,1171,1,<rshift>,0
222,A,8,4,1,4,1010001011100100110011100,1010101011100000110011100,1005,2134,1,<lshift>,1
222,A,8,4,1,5,1001011000111110000101100,1000011000111110000111100,1005,1364,0,<rshift>,1
222,A,8,4,1,6,1001010111101101111000000,1010010111101101111000000,1005,1009,1,<rshift>,0
222,A,8,4,1,7,0010101001111001001001101,0010101000111001001011101,1005,1005,1,<rshift>,0
222,A,8,4,1,8,0111100010101111001000010,1111000010101111001000010,1005,1397,1,<lshift>,1
222,A,8,4,1,9,0101110010010110110110010,0101110010010011110110010,1004,949,1,<lshift>,1
222,A,8,4,1,10,0101101101100001000010011,0011101101100001000010011,1005,1012,0,<rshift>,1
222,A,8,4,1,11,0000011011010100001110110,0000011001011100001110110,1006,1181,1,<lshift>,1
222,A,8,4,1,12,0011001110011101101010010,0011001110011101101000011,1004,1060,1,<lshift>,1
222,A,8,4,1,13,1000010111011101100011000,0000010111011101100011100,1006,685,1,<lshift>,1
222,A,8,4,1,14,1111110000110010010001000,0111110000110010010101000,1006,1781,0,<rshift>,1
222,A,8,4,1,15,1000001111100010001100110,1000001101100010011100110,1006,1099,1,<lshift>,1
222,A,8,4,1,16,0100011010110110011011100,0100011010110010011011101,1004,797,0,<lshift>,0
222,A,8,4,1,17,0000011001011011010110101,0000011101001011010110101,1006,1452,1,<lshift>,1
222,A,8,4,1,18,0001010101011000010011011,0001010101011100000011011,1006,747,1,<lshift>,1
222,A,8,4,1,19,1101000110110100100111000,1101000110110100100110001,1006,678,0,<lshift>,0
222,A,8,4,1,20,1100001110101101101010100,1100001110101001101010110,1005,963,1,<lshift>,1
222,A,8,4,1,21,1011000111101001101010000,1011000101101001101110000,1006,1110,1,<lshift>,1
222,A,8,4,1,22,0011110010100011110000110,1011100010100011110000110,1006,1381,0,<lshift>,0
222,A,8,4,1,23,1001010010101111000001101,1001010010101011000001111,1006,957,1,<lshift>,1
222,A,8,4,1,24,0011110011111010010000011,0011110011101010110000011,1006,2506,1,<lshift>,1
222,A,8,4,1,25,1010101100101011101100010,0010101100101011111100010,1005,884,0,<rshift>,1
222,A,8,4,1,26,1110001101001110000101000,1110001001001110100101000,1006,1149,1,<rshift>,0
222,A,8,4,1,27,1101001100100101100110011,1001001100110101100110011,1005,909,0,<rshift>,1
222,A,8,4,1,28,0111110011011100000101100,0111111011011000000101100,1005,1733,1,<lshift>,1
222,A,8,4,1,29,1001001011011110000110110,1001101010011110000110110,1006,921,1,<lshift>,1
222,A,8,4,1,30,0100010101001000010111111,0100010101101000010110111,1006,1037,0,<lshift>,0
222,A,8,4,1,31,1011101001010001000011100,1011101001010000001011100,1006,1525,0,<lshift>,0
222,A,8,4,1,32,0010011011100101101001110,0010011010100101101001111,1005,1590,0,<rshift>,1
222,A,8,4,1,33,0000101101110110010010101,0000111101110100010010101,1005,1701,1,<lshift>,1
222,A,8,4,1,34,1000011000110011111000001,1000011000110011101000101,1006,1172,1,<lshift>,1
222,A,8,4,1,35,1111000010110000011000101,1111000011010000011000101,1006,886,0,<rshift>,1
222,A,9,1,5,1,0100110100101011011011001,0101110100101011011001001,1006,1109,1,<lshift>,1
222,A,9,1,5,2,1100000111000001110010111,1100010110000001110010111,1006,1346,1,<lshift>,1
222,A,9,1,5,3,1011101000011011001110001,1011101000111011001010001,1006,1164,1,<lshift>,1
222,A,9,1,5,4,0110101001001110010101011,0110101000001110010111011,1005,772,0,<rshift>,1
222,A,9,1,5,5,0111010001001110101100000,0111110001001110101000000,1006,758,0,<rshift>,1
222,A,9,1,5,6,1100110100100010100001011,1000110101100010100001011,1006,1133,0,<rshift>,1
222,A,9,1,5,7,0001100110110010111110000,0001100010110011111110000,1006,731,0,<rshift>,1
222,A,9,1,5,8,1001010111001100000011100,1001010101101100000011100,1006,926,1,<lshift>,1
222,A,9,1,5,9,1100110111001001000110010,1100110111000001000111010,1005,692,1,<lshift>,1
