subnum,trial,baseImage,stimCode,type,probeCond,probe,x,y,probeFile,clickResp,corr,time1,time2,responsetime,size,Centrality
104,31,i9,103,PRESENT,5,1,-234,30,Stimuli/Probes/i9-1.png,1,1,311068,312230,1162,92,236
104,32,i264,23,PRESENT,5,3,389,-8,Stimuli/Probes/i264-3.png,1,1,315275,317046,1771,161,389
104,33,i9,100,ABSENT,2,3,248,74,Stimuli/Probes/i9-3.png,0,1,319731,320614,883,80,259
104,34,i294,103,ABSENT,3,2,-237,-211,Stimuli/Probes/i294-2.png,0,1,323979,325470,1491,237,317
104,35,i9,103,PRESENT,5,3,248,74,Stimuli/Probes/i9-3.png,1,1,328323,329982,1659,80,259
104,36,i294,20,PRESENT,4,2,-237,-211,Stimuli/Probes/i294-2.png,1,1,333515,334846,1331,237,317
104,37,i294,0,ABSENT,1,2,-237,-211,Stimuli/Probes/i294-2.png,0,1,337484,338478,994,237,317
104,38,i264,23,ABSENT,3,1,-264,103,Stimuli/Probes/i264-1.png,0,1,341915,342669,754,155,283
104,39,i264,3,PRESENT,4,3,389,-8,Stimuli/Probes/i264-3.png,1,1,345331,346901,1570,161,389
104,40,i264,0,ABSENT,1,3,389,-8,Stimuli/Probes/i264-3.png,0,1,349651,350710,1059,161,389
104,41,i9,23,PRESENT,5,2,30,45,Stimuli/Probes/i9-2.png,1,1,353371,354165,794,104,54
104,42,i294,23,PRESENT,5,2,-237,-211,Stimuli/Probes/i294-2.png,1,1,357523,358509,986,237,317
104,43,i294,3,ABSENT,2,2,-237,-211,Stimuli/Probes/i294-2.png,0,1,361162,362341,1179,237,317
104,44,i9,20,PRESENT,4,2,30,45,Stimuli/Probes/i9-2.png,1,1,365114,367597,2483,104,54
104,45,i264,0,ABSENT,1,1,-264,103,Stimuli/Probes/i264-1.png,0,1,370066,371117,1051,155,283
105,1,i9,100,ABSENT,2,2,30,45,Stimuli/Probes/i9-2.png,1,0,99115,105365,6250,104,54
105,2,i294,20,PRESENT,4,2,-237,-211,Stimuli/Probes/i294-2.png,1,1,123914,124877,963,237,317
105,3,i294,0,ABSENT,1,3,310,152,Stimuli/Probes/i294-3.png,1,0,131233,133564,2331,259,345
105,4,i294,103,ABSENT,3,2,-237,-211,Stimuli/Probes/i294-2.png,1,0,143178,145595,2417,237,317
105,5,i264,23,PRESENT,5,3,389,-8,Stimuli/Probes/i264-3.png,1,1,152273,153772,1499,161,389
105,6,i9,120,PRESENT,5,2,30,45,Stimuli/Probes/i9-2.png,1,1,158864,159483,619,104,54
105,7,i264,0,ABSENT,1,3,389,-8,Stimuli/Probes/i264-3.png,1,0,163240,164203,963,161,389
105,8,i264,23,PRESENT,5,2,26,141,Stimuli/Probes/i264-2.png,1,1,168416,169147,731,172,143
105,9,i9,120,ABSENT,3,3,248,74,Stimuli/Probes/i9-3.png,0,1,177544,179707,2163,80,259
105,10,i264,100,PRESENT,4,1,-264,103,Stimuli/Probes/i264-1.png,1,1,190215,190970,755,155,283
105,11,i264,103,ABSENT,3,2,26,141,Stimuli/Probes/i264-2.png,1,0,204264,205882,1618,172,143
105,12,i264,0,ABSENT,1,2,26,141,Stimuli/Probes/i264-2.png,1,0,209144,209938,794,172,143
105,13,i9,0,ABSENT,1,1,-234,30,Stimuli/Probes/i9-1.png,1,0,215087,216362,1275,92,236
105,14,i294,23,ABSENT,3,1,-239,260,Stimuli/Probes/i294-1.png,1,0,224503,225801,1298,238,353
105,15,i9,100,PRESENT,4,1,-234,30,Stimuli/Probes/i9-1.png,1,1,228383,228954,571,92,236
105,16,i9,20,ABSENT,2,3,248,74,Stimuli/Probes/i9-3.png,1,0,231519,232218,699,80,259
105,17,i9,20,PRESENT,4,2,30,45,Stimuli/Probes/i9-2.png,1,1,239174,239881,707,104,54
105,18,i294,120,ABSENT,3,3,310,152,Stimuli/Probes/i294-3.png,1,0,246830,249225,2395,259,345
105,19,i264,120,ABSENT,3,3,389,-8,Stimuli/Probes/i264-3.png,0,1,251342,253272,1930,161,389
